"Status","File","ProductNumber","ProductName","Reason","Warnings","ImagePath","OcrText"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.44 PM.jpeg","DZ-132-414-30085-XS","","OCR result needs manual review before import.","Product name could not be identified from OCR text.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.44 PM.jpeg","71 oeø ID:M16 DZ-132 414 30085-XS CABIN BUSH SHACMAN ID:22"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.45 PM (1).jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.45 PM (1).jpeg","21 9 63 152 TORQUE BUSH STEEL TYPE"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.45 PM.jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.45 PM.jpeg","TORQUE BUSH"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.46 PM (1).jpeg","HOWO-T5-T7","","OCR result needs manual review before import.","Product name could not be identified from OCR text. | Alternate product/OE numbers detected and stored for search: 712W41722-6032-XS, 380MM-15.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.46 PM (1).jpeg","ID:14 OD•.45 380mm(15"" 712W41722-6032 xs CABIN BELLOW HOWO T5 T7 ID:14"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.46 PM.jpeg","712W41722-6032-XS","","OCR result needs manual review before import.","Product name could not be identified from OCR text. | Alternate product/OE numbers detected and stored for search: HOWO-T5-T7.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.46 PM.jpeg","712W41722-6032 xs CABIN BELLOW HOWO T5 T7"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.47 PM (3).jpeg","AZ-972-552-0278-XS","","OCR result needs manual review before import.","Product name could not be identified from OCR text.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.47 PM (3).jpeg","L 220mm L 239mm HI 16mm HI 21 mm HI 155mm AZ -972 552 0278-XS RUBBER BASE REAR 6H HOWO (16.7KG) 6 HOLE M17 4 HOLE M24"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.48 PM (2).jpeg","120MM","","OCR result needs manual review before import.","Product name could not be identified from OCR text.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.48 PM (2).jpeg","Tog 510M R OO@O 53mm M12 120mm SKSB-IOOI TORQUE BUS 4 HOLE CPII SKS OD 85 HOLE 12M C-C 120 HI 53"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.49 PM (2).jpeg","DZ-142-514-30020-XS","","OCR result needs manual review before import.","Product name could not be identified from OCR text.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.49 PM (2).jpeg","394mm 45mm ID 14mm M14 DZ-142 514 30020-XS CABIN BELLOW FRT X3000 SHACMAN 1 BUSH 1 TING L 15.5"" 14 BTM M14"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.50 PM (1).jpeg","ID-70MM","","OCR result needs manual review before import.","Product name could not be identified from OCR text. | Alternate product/OE numbers detected and stored for search: HI-36MM, 200MM.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.50 PM (1).jpeg","ID 70mm DRIVER SHAFT HANGER ASSEMBLY oee@ HI 36mm C-C 200mm xs LIS RUBBER ASSY CAMC ID 70M L 215 SEAL 85X115X12 C-C 200 BRG HI 36"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.50 PM (3).jpeg","WG-923-352-0010","","OCR result needs manual review before import.","Product name could not be identified from OCR text.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.50 PM (3).jpeg","H-H 130mm NASTIC smxs-A202S M13 HI 33 65mm WG-923 352 0010 REAR SPG LIMITED BLOCK HOWO 2H - M13 H-H 130 SQ SPG BUMPER"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.50 PM.jpeg","ID-75MM","","OCR result needs manual review before import.","Product name could not be identified from OCR text. | Alternate product/OE numbers detected and stored for search: 250MM.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.50 PM.jpeg","ID 75mm DRIVER SHAFT HANGER ASSEMBLY HI 30 C-C 250mm xs LIS RUBBER ASSY HOWO ID 75M HOLE C-C 250MM BRG H130"
