"Status","File","ProductNumber","ProductName","Reason","Warnings","ImagePath","OcrText"
"Updated existing","WhatsApp Image 2026-04-02 at 10.18.48 PM.jpeg","8-94395-519-0","Flywheel","Product number already exists; safely updated missing fields: confidence.","","assets/img/products/8-94395-519-0.jpeg","GEAR OD 426 ID 393 ID 52 HI 12 140T ID 215mm 14"" 1355mm HI 84 8-94395-519-0 FLYWHEEL 14"" 8H 140T IZ 6HH1"
"Updated existing","WhatsApp Image 2026-04-02 at 6.56.02 PM.jpeg","13450-1912","Flywheel","Product number already exists; safely updated missing fields: confidence.","","assets/img/products/13450-1912.jpeg","GEAR OD 392 ID 355 8H M14 ID 100 ID 47 HI 14 129T NO SENSOR—4 ID 218mm 14"" 1355mm HI 86 13450-1912 FLYWHEEL 14"" 8H 129T ID47 J08C J07C J05C SAME 561-113450-E0281"
"Updated existing","WhatsApp Image 2026-04-02 at 6.56.29 PM.jpeg","13450-3980","Flywheel","Product number already exists; safely updated missing fields: confidence.","","assets/img/products/13450-3980.jpeg","GEAR OD 442 ID 396 81-1 M14 ID 100 ID 47 HI 28 145T 561-1 ID 248mm 17"" 1432mm HI 110 13450-3980 FLYWHEEL 17"" 145T J08E ABS HOLE 56"
"Updated existing","WhatsApp Image 2026-04-02 at 6.57.08 PM.jpeg","13450-E0444","Flywheel","Product number already exists; safely updated missing fields: confidence.","","assets/img/products/13450-E0444.jpeg","GEAR OD 487 ID 440 121-1 M12 2H MIO H M16 ID 62 HI 23 ID 116 561-1 248mm 17"" / 432mm HI 95 13450-E0444 FLYWHEEL 17"" ID62 PIIC 137T 9H ( GOT ABS HOLE 56HOLE ) GOT LEG 4 PART LEG"
"Updated existing","WhatsApp Image 2026-04-02 at 6.58.08 PM.jpeg","13450-1912-SENSOR","Flywheel","Product number already exists; safely updated missing fields: confidence.","","assets/img/products/13450-1912-SENSOR.jpeg","8H M14 O o 'D 47 HI 14 ID 100 5614 ID 217 14"" 1356mm ii HI 87 FLYWHEEL 14"" 13450-1912-SENSOR 81-1 129T ID47 J07E J07 56 ABS SENSOR HOLE 4 LEG ALL COMPLETE ABS HOLE. J08C"
"Updated existing","WhatsApp Image 2026-04-02 at 6.59.00 PM.jpeg","13450-3591","Flywheel","Product number already exists; safely updated missing fields: confidence.","","assets/img/products/13450-3591.jpeg","GEAR OD 370 ID 331 ID 40 HI 12 ID 100 121T HI 36 221-1 MIO 5K M14 IH M18/M14 ID 188 12"" HI 40 13450-3591 FLYWHEEL 12""61-1 121T W04D DUTRO ID 40 2 IN 1 HOLE"
"Needs review","WhatsApp Image 2026-04-02 at 6.59.10 PM.jpeg","13450-EOL60","Flywheel","OCR result needs manual review before import.","Product number contains OCR-ambiguous O/0 characters.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\WhatsApp Image 2026-04-02 at 6.59.10 PM.jpeg","ID 40 HI 12 ID 357 OD 393 129T ID 187 12"" 42 13450-EOL60 FLYWHEEL 12"" 81-1 129T ID 40 N04CT DUTRO W04 S05 GEAR BIGGER THAN FLIWHEEL HI 42"
"Updated existing","WhatsApp Image 2026-04-02 at 6.59.30 PM.jpeg","13450-3701","Flywheel","Product number already exists; safely updated missing fields: confidence.","","assets/img/products/13450-3701.jpeg","ID 62 HI 24 242 17"" / 432mm 561-1 8H M18 OD 487 ID 438 137T 92 13450-3701 FLYWHEEL 17"" 137T 8H E13C BRG 6206"
"Updated existing","WhatsApp Image 2026-04-02 at 6.59.59 PM.jpeg","8-98056-355-2","Flywheel","Product number already exists; safely updated missing fields: confidence.","","assets/img/products/8-98056-355-2.jpeg","56H 14"" / 356mm OD 434 ID 402 143T M16 ID 52 HI 15 HI 87 8-98056-355-2 FLYWHEEL 14""81-1 143T 4HK1 FRR HI 65M"
"Needs review","WhatsApp Image 2026-04-03 at 9.39.39 AM.jpeg","ME-012551","Flywheel","OCR result needs manual review before import.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\WhatsApp Image 2026-04-03 at 9.39.39 AM.jpeg","GEAR OD 348 ID 315 C) ID 40 HI 15 114T 6H M14 ID 100 ID 173mm 117/8 ""1300mm HI 37 ME 012551 FLYWHEEL ASSY 11"" 114T 61-4 MIT CANTER 4D34 FE639 M14"
