"Status","File","ProductNumber","ProductName","Reason","Warnings","ImagePath","OcrText"
"Imported","WhatsApp Image 2026-07-23 at 11.20.44 PM.jpeg","DZ-132-414-30085-XS","Cabin Bush","Recognized and added to generated catalogue data.","","assets/img/products/DZ-132-414-30085-XS-630DA68AE54C-3.jpeg","71 oeø ID:M16 DZ-132 414 30085-XS CABIN BUSH SHACMAN ID:22"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.45 PM (1).jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.45 PM (1).jpeg","21 9 63 152 TORQUE BUSH STEEL TYPE"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.45 PM.jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.45 PM.jpeg","TORQUE BUSH"
"Imported","WhatsApp Image 2026-07-23 at 11.20.46 PM (1).jpeg","712W41722-6032-XS","Cabin Bellow","Recognized and added to generated catalogue data.","Alternate product/OE numbers detected and stored for search: 380MM-15.","assets/img/products/712W41722-6032-XS-4279D02837F6-3.jpeg","ID:14 OD•.45 380mm(15"" 712W41722-6032 xs CABIN BELLOW HOWO T5 T7 ID:14"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.46 PM (2).jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.46 PM (2).jpeg","50 80 152 80X50X152X21-xs TORQUE BUSH DF KINLAND & AJMAN"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.46 PM (3).jpeg","","Torque Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.46 PM (3).jpeg","80X50X152X21-XS TORQUE BUSH DF KINLAND & AUMAN"
"Skipped duplicate","WhatsApp Image 2026-07-23 at 11.20.46 PM.jpeg","712W41722-6032-XS","Cabin Bellow","Product number already exists in generated catalogue data; existing record was not modified.","","","712W41722-6032 xs CABIN BELLOW HOWO T5 T7"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.47 PM (1).jpeg","","V Bar Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.47 PM (1).jpeg","85 53 25 130 V BAR BUSH 2 HOLE HO\/VO"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.47 PM (2).jpeg","","V Bar Bush","No reliable product number candidate found.","","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.47 PM (2).jpeg","V BAR BUSH 2 HOLE"
"Imported","WhatsApp Image 2026-07-23 at 11.20.47 PM (3).jpeg","AZ-972-552-0278-XS","Rubber Base","Recognized and added to generated catalogue data.","","assets/img/products/AZ-972-552-0278-XS-C0B24673246F-3.jpeg","L 220mm L 239mm HI 16mm HI 21 mm HI 155mm AZ -972 552 0278-XS RUBBER BASE REAR 6H HOWO (16.7KG) 6 HOLE M17 4 HOLE M24"
"Imported","WhatsApp Image 2026-07-23 at 11.20.47 PM.jpeg","2905010-D160-C-XS","Shock Absorber","Recognized and added to generated catalogue data.","","assets/img/products/2905010-D160-C-XS-7E4F32A6EC7E-4.jpeg","HI 50mm il ID 16mm MADE 'N CHINA HI IOOmm 2905010-D160/C-XS FRT CHASIS ABSORBER FAW J6"
"Imported","WhatsApp Image 2026-07-23 at 11.20.48 PM (1).jpeg","DZ-152-214-43020-XS","Shock Absorber","Recognized and added to generated catalogue data.","","assets/img/products/DZ-152-214-43020-XS-7CE6696677FA-4.jpeg","DZ-152 214 43020-XS REAR CABIN ABSORBER SHACMAN"
"Needs review","WhatsApp Image 2026-07-23 at 11.20.48 PM (2).jpeg","OD-85-HOLE-12M","","OCR result needs manual review before import.","Product name could not be identified from OCR text. | Alternate product/OE numbers detected and stored for search: 120-HI-53.","C:\Users\helon\OneDrive\Desktop\NAE-TRUCK\whatsapp-import\XIN-SENG\WhatsApp Image 2026-07-23 at 11.20.48 PM (2).jpeg","Tog 510M R OO@O 53mm M12 120mm SKSB-IOOI TORQUE BUS 4 HOLE CPII SKS OD 85 HOLE 12M C-C 120 HI 53"
"Skipped duplicate","WhatsApp Image 2026-07-23 at 11.20.48 PM.jpeg","DZ-152-214-43020-XS","Shock Absorber","Product number already exists in generated catalogue data; existing record was not modified.","","","ID:20 245mm(9 518 275mm(10 718"") OD:45 ID:20 DZ-152 214 43020-XS REAR CABIN ABSORBER SHACMAN"
"Imported","WhatsApp Image 2026-07-23 at 11.20.49 PM (1).jpeg","WG-164-243-0283-XS","Shock Absorber","Recognized and added to generated catalogue data.","","assets/img/products/WG-164-243-0283-XS-4196E8454A53-4.jpeg","400mm 361 mm 40mm ID 14mm WG-164 243 0283-XS CABIN ABSORBER FRT HOW0371 SWZIO GOT SPG LONG 15 3/4"" ID 14 LONG 400M"
"Imported","WhatsApp Image 2026-07-23 at 11.20.49 PM (2).jpeg","DZ-142-514-30020-XS","Cabin Bellow","Recognized and added to generated catalogue data.","Alternate product/OE numbers detected and stored for search: X3000.","assets/img/products/DZ-142-514-30020-XS-388C5230BDB8-3.jpeg","394mm 45mm ID 14mm M14 DZ-142 514 30020-XS CABIN BELLOW FRT X3000 SHACMAN 1 BUSH 1 TING L 15.5"" 14 BTM M14"
"Imported","WhatsApp Image 2026-07-23 at 11.20.49 PM (3).jpeg","WG-166-444-0400-XS","Shock Absorber","Recognized and added to generated catalogue data.","","assets/img/products/WG-166-444-0400-XS-5B2EC7A53FA6-4.jpeg","482mm 434mm 45mm ID 14mm WG-166 444 0400-XS REAR CABIN ABSORBER A7 GOT SPRING L 19"""
"Imported","WhatsApp Image 2026-07-23 at 11.20.49 PM.jpeg","WG-164-244-0021-XS","Shock Absorber","Recognized and added to generated catalogue data.","","assets/img/products/WG-164-244-0021-XS-CA1D3DBF9C97-4.jpeg","292mm 242mm 45mm ID 20mm WG-164 244 0021-XS CABIN ABSORBER REAR HOWO ID 20M L 11 1/2"""
